1.52.198.170 - - [27/Feb/2021:03:38:17 +0000] "GET / HTTP/1.1" 200 11156
1.52.198.170 - admin [27/Feb/2021:03:38:19 +0000] "GET /manager/html HTTP/1.1" 200 17848
1.52.198.170 - admin [27/Feb/2021:03:38:37 +0000] "POST /manager/html/start?path=/dophyvn&org.apache.catalina.filters.CSRF_NONCE=64756816472D9A1346D4F975079DBAC2 HTTP/1.1" 200 18139
1.52.198.170 - admin [27/Feb/2021:03:38:46 +0000] "POST /manager/html/undeploy?path=/dophyvn&org.apache.catalina.filters.CSRF_NONCE=418690611E1419C7F62C2C628DE3EB8B HTTP/1.1" 200 16676
1.52.198.170 - admin [27/Feb/2021:03:46:21 +0000] "POST /manager/html/upload?org.apache.catalina.filters.CSRF_NONCE=DA23812C4975D5454046C5468DF2B1D5 HTTP/1.1" 200 17848
1.52.198.170 - - [27/Feb/2021:03:59:19 +0000] "GET / HTTP/1.1" 200 11156
1.52.198.170 - admin [27/Feb/2021:03:59:21 +0000] "GET /manager/html HTTP/1.1" 200 17848
1.52.198.170 - admin [27/Feb/2021:03:59:24 +0000] "POST /manager/html/undeploy?path=/dophyvn&org.apache.catalina.filters.CSRF_NONCE=30F3CC4E5C112C626AAE61F66C033746 HTTP/1.1" 200 16676
1.52.198.170 - - [27/Feb/2021:04:28:19 +0000] "GET / HTTP/1.1" 200 11156
1.52.198.170 - - [27/Feb/2021:04:28:20 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
1.52.198.170 - admin [27/Feb/2021:04:28:22 +0000] "GET /manager/html HTTP/1.1" 200 16616
1.52.198.170 - admin [27/Feb/2021:04:29:11 +0000] "POST /manager/html/upload?org.apache.catalina.filters.CSRF_NONCE=51D6C0D535681BBDDAE78FC57CFCFAA5 HTTP/1.1" 200 18460
1.52.198.170 - - [27/Feb/2021:04:29:22 +0000] "GET /dophyvn/ HTTP/1.1" 200 46719
1.52.198.170 - - [27/Feb/2021:04:29:22 +0000] "GET /dophyvn/template/web/css/shop-homepage.css HTTP/1.1" 200 9879
1.52.198.170 - - [27/Feb/2021:04:29:22 +0000] "GET /dophyvn/images/cart.png HTTP/1.1" 404 155
1.52.198.170 - - [27/Feb/2021:04:29:22 +0000] "GET /dophyvn/images/logo.jpg HTTP/1.1" 404 155
1.52.198.170 - - [27/Feb/2021:04:29:22 +0000] "GET /dophyvn/images/bot-pha-dung-dich-trong-rau-thuy-canh-tc-mobi.jpg HTTP/1.1" 404 196
1.52.198.170 - - [27/Feb/2021:04:29:22 +0000] "GET /dophyvn/images/cart-hover.png HTTP/1.1" 404 161
1.52.198.170 - - [27/Feb/2021:04:29:23 +0000] "GET /dophyvn/template/web/jquery/jquery.min.js HTTP/1.1" 200 89478
1.52.198.170 - - [27/Feb/2021:04:29:23 +0000] "GET /dophyvn/template/web/jquery/serializeObject.js HTTP/1.1" 200 1767
